a,b,c,triplets_mapped,co
42,68,373,"(42, 68, 373)",1
121,122,269,"(121, 122, 269)",1
58,194,30,"(58, 194, 30)",1
310,362,407,"(310, 362, 407)",1
362,407,310,"(362, 407, 310)",1
362,310,407,"(362, 310, 407)",1
147,58,194,"(147, 58, 194)",1
147,30,194,"(147, 30, 194)",1
147,194,58,"(147, 194, 58)",1
147,194,30,"(147, 194, 30)",1
58,147,194,"(58, 147, 194)",1
58,30,194,"(58, 30, 194)",1
58,194,147,"(58, 194, 147)",1
30,147,194,"(30, 147, 194)",1
407,362,310,"(407, 362, 310)",1
30,58,194,"(30, 58, 194)",1
30,194,147,"(30, 194, 147)",1
30,194,58,"(30, 194, 58)",1
194,147,58,"(194, 147, 58)",1
194,147,30,"(194, 147, 30)",1
194,58,147,"(194, 58, 147)",1
194,58,30,"(194, 58, 30)",1
194,30,147,"(194, 30, 147)",1
194,30,58,"(194, 30, 58)",1
289,319,68,"(289, 319, 68)",1
310,407,362,"(310, 407, 362)",1
407,310,362,"(407, 310, 362)",1
4,34,174,"(4, 34, 174)",1
10,257,66,"(10, 257, 66)",1
4,174,34,"(4, 174, 34)",1
34,4,174,"(34, 4, 174)",1
34,174,4,"(34, 174, 4)",1
174,4,34,"(174, 4, 34)",1
174,34,4,"(174, 34, 4)",1
66,257,10,"(66, 257, 10)",1
66,10,257,"(66, 10, 257)",1
257,66,10,"(257, 66, 10)",1
257,10,66,"(257, 10, 66)",1
10,66,257,"(10, 66, 257)",1
26,234,107,"(26, 234, 107)",1
386,41,81,"(386, 41, 81)",1
26,107,234,"(26, 107, 234)",1
234,26,107,"(234, 26, 107)",1
234,107,26,"(234, 107, 26)",1
107,26,234,"(107, 26, 234)",1
107,234,26,"(107, 234, 26)",1
81,41,386,"(81, 41, 386)",1
81,386,41,"(81, 386, 41)",1
41,81,386,"(41, 81, 386)",1
41,386,81,"(41, 386, 81)",1
386,81,41,"(386, 81, 41)",1
160,32,241,"(160, 32, 241)",1
160,32,173,"(160, 32, 173)",1
160,32,12,"(160, 32, 12)",1
52,107,115,"(52, 107, 115)",1
117,121,73,"(117, 121, 73)",1
117,121,269,"(117, 121, 269)",1
151,43,200,"(151, 43, 200)",1
151,200,43,"(151, 200, 43)",1
43,151,200,"(43, 151, 200)",1
43,200,151,"(43, 200, 151)",1
200,151,43,"(200, 151, 43)",1
200,43,151,"(200, 43, 151)",1
52,115,107,"(52, 115, 107)",1
52,42,107,"(52, 42, 107)",1
52,107,42,"(52, 107, 42)",1
117,269,121,"(117, 269, 121)",1
115,52,107,"(115, 52, 107)",1
115,107,52,"(115, 107, 52)",1
42,52,107,"(42, 52, 107)",1
42,107,52,"(42, 107, 52)",1
107,52,115,"(107, 52, 115)",1
107,52,42,"(107, 52, 42)",1
107,115,52,"(107, 115, 52)",1
107,42,52,"(107, 42, 52)",1
104,14,140,"(104, 14, 140)",1
104,140,14,"(104, 140, 14)",1
117,121,222,"(117, 121, 222)",1
117,269,73,"(117, 269, 73)",1
160,173,241,"(160, 173, 241)",1
121,269,117,"(121, 269, 117)",1
121,222,73,"(121, 222, 73)",1
121,222,269,"(121, 222, 269)",1
121,222,117,"(121, 222, 117)",1
121,73,122,"(121, 73, 122)",1
121,73,222,"(121, 73, 222)",1
121,73,269,"(121, 73, 269)",1
121,73,117,"(121, 73, 117)",1
121,269,122,"(121, 269, 122)",1
121,269,222,"(121, 269, 222)",1
121,269,73,"(121, 269, 73)",1
121,117,222,"(121, 117, 222)",1
117,269,222,"(117, 269, 222)",1
121,117,73,"(121, 117, 73)",1
121,117,269,"(121, 117, 269)",1
117,122,222,"(117, 122, 222)",1
117,222,122,"(117, 222, 122)",1
117,222,73,"(117, 222, 73)",1
117,222,269,"(117, 222, 269)",1
117,222,121,"(117, 222, 121)",1
117,73,222,"(117, 73, 222)",1
117,73,269,"(117, 73, 269)",1
117,73,121,"(117, 73, 121)",1
14,104,140,"(14, 104, 140)",1
14,140,104,"(14, 140, 104)",1
14,140,42,"(14, 140, 42)",1
12,173,241,"(12, 173, 241)",1
94,126,82,"(94, 126, 82)",1
94,81,82,"(94, 81, 82)",1
94,82,151,"(94, 82, 151)",1
94,82,126,"(94, 82, 126)",1
94,82,81,"(94, 82, 81)",1
12,160,173,"(12, 160, 173)",1
12,160,32,"(12, 160, 32)",1
12,160,241,"(12, 160, 241)",1
12,173,160,"(12, 173, 160)",1
12,173,32,"(12, 173, 32)",1
12,32,160,"(12, 32, 160)",1
14,42,140,"(14, 42, 140)",1
12,32,173,"(12, 32, 173)",1
12,32,241,"(12, 32, 241)",1
12,241,160,"(12, 241, 160)",1
12,241,173,"(12, 241, 173)",1
12,241,32,"(12, 241, 32)",1
160,12,173,"(160, 12, 173)",1
160,12,32,"(160, 12, 32)",1
160,12,241,"(160, 12, 241)",1
160,173,12,"(160, 173, 12)",1
160,173,32,"(160, 173, 32)",1
94,151,82,"(94, 151, 82)",1
82,94,81,"(82, 94, 81)",1
82,94,126,"(82, 94, 126)",1
82,94,151,"(82, 94, 151)",1
140,104,14,"(140, 104, 14)",1
140,14,104,"(140, 14, 104)",1
140,14,42,"(140, 14, 42)",1
140,42,14,"(140, 42, 14)",1
42,14,140,"(42, 14, 140)",1
42,140,14,"(42, 140, 14)",1
187,256,32,"(187, 256, 32)",1
187,32,256,"(187, 32, 256)",1
256,187,32,"(256, 187, 32)",1
256,32,187,"(256, 32, 187)",1
32,187,256,"(32, 187, 256)",1
32,256,187,"(32, 256, 187)",1
151,82,94,"(151, 82, 94)",1
151,94,82,"(151, 94, 82)",1
126,82,94,"(126, 82, 94)",1
126,94,82,"(126, 94, 82)",1
81,82,94,"(81, 82, 94)",1
81,94,82,"(81, 94, 82)",1
82,151,94,"(82, 151, 94)",1
82,126,94,"(82, 126, 94)",1
82,81,94,"(82, 81, 94)",1
267,273,162,"(267, 273, 162)",1
267,304,162,"(267, 304, 162)",1
66,238,195,"(66, 238, 195)",1
426,48,66,"(426, 48, 66)",1
66,426,48,"(66, 426, 48)",1
66,48,426,"(66, 48, 426)",1
31,66,426,"(31, 66, 426)",1
31,426,66,"(31, 426, 66)",1
31,426,48,"(31, 426, 48)",1
31,48,426,"(31, 48, 426)",1
426,66,31,"(426, 66, 31)",1
426,66,48,"(426, 66, 48)",1
426,31,66,"(426, 31, 66)",1
426,31,48,"(426, 31, 48)",1
426,48,31,"(426, 48, 31)",1
66,31,426,"(66, 31, 426)",1
48,66,426,"(48, 66, 426)",1
48,31,426,"(48, 31, 426)",1
48,426,66,"(48, 426, 66)",1
48,426,31,"(48, 426, 31)",1
122,257,85,"(122, 257, 85)",1
122,85,257,"(122, 85, 257)",1
257,122,85,"(257, 122, 85)",1
257,85,122,"(257, 85, 122)",1
85,122,257,"(85, 122, 257)",1
85,257,122,"(85, 257, 122)",1
66,426,31,"(66, 426, 31)",1
107,42,32,"(107, 42, 32)",1
46,391,102,"(46, 391, 102)",1
30,150,155,"(30, 150, 155)",1
150,182,66,"(150, 182, 66)",1
150,182,30,"(150, 182, 30)",1
150,30,155,"(150, 30, 155)",1
150,30,182,"(150, 30, 182)",1
30,155,66,"(30, 155, 66)",1
30,155,150,"(30, 155, 150)",1
30,66,155,"(30, 66, 155)",1
30,66,182,"(30, 66, 182)",1
30,182,66,"(30, 182, 66)",1
30,182,150,"(30, 182, 150)",1
30,150,182,"(30, 150, 182)",1
107,32,42,"(107, 32, 42)",1
34,32,107,"(34, 32, 107)",1
34,107,32,"(34, 107, 32)",1
32,34,107,"(32, 34, 107)",1
32,42,107,"(32, 42, 107)",1
32,107,34,"(32, 107, 34)",1
32,107,42,"(32, 107, 42)",1
42,32,107,"(42, 32, 107)",1
42,107,32,"(42, 107, 32)",1
107,34,32,"(107, 34, 32)",1
107,32,34,"(107, 32, 34)",1
46,391,150,"(46, 391, 150)",1
46,150,391,"(46, 150, 391)",1
17,180,162,"(17, 180, 162)",1
158,356,180,"(158, 356, 180)",1
162,356,180,"(162, 356, 180)",1
162,180,158,"(162, 180, 158)",1
162,180,17,"(162, 180, 17)",1
162,180,356,"(162, 180, 356)",1
158,162,17,"(158, 162, 17)",1
158,162,180,"(158, 162, 180)",1
158,17,162,"(158, 17, 162)",1
158,17,356,"(158, 17, 356)",1
158,17,180,"(158, 17, 180)",1
158,356,17,"(158, 356, 17)",1
158,180,162,"(158, 180, 162)",1
162,17,180,"(162, 17, 180)",1
158,180,17,"(158, 180, 17)",1
158,180,356,"(158, 180, 356)",1
17,162,158,"(17, 162, 158)",1
17,162,356,"(17, 162, 356)",1
17,162,180,"(17, 162, 180)",1
17,158,162,"(17, 158, 162)",1
17,158,356,"(17, 158, 356)",1
17,158,180,"(17, 158, 180)",1
17,356,162,"(17, 356, 162)",1
17,356,158,"(17, 356, 158)",1
162,356,17,"(162, 356, 17)",1
162,17,356,"(162, 17, 356)",1
46,102,391,"(46, 102, 391)",1
102,46,391,"(102, 46, 391)",1
391,46,150,"(391, 46, 150)",1
391,46,102,"(391, 46, 102)",1
391,150,46,"(391, 150, 46)",1
391,150,102,"(391, 150, 102)",1
391,102,46,"(391, 102, 46)",1
391,102,150,"(391, 102, 150)",1
150,46,391,"(150, 46, 391)",1
150,391,46,"(150, 391, 46)",1
150,391,102,"(150, 391, 102)",1
150,102,391,"(150, 102, 391)",1
102,391,46,"(102, 391, 46)",1
162,17,158,"(162, 17, 158)",1
102,391,150,"(102, 391, 150)",1
102,150,391,"(102, 150, 391)",1
142,490,120,"(142, 490, 120)",1
142,120,490,"(142, 120, 490)",1
490,142,120,"(490, 142, 120)",1
490,120,142,"(490, 120, 142)",1
120,142,490,"(120, 142, 490)",1
120,490,142,"(120, 490, 142)",1
162,158,17,"(162, 158, 17)",1
162,158,180,"(162, 158, 180)",1
150,182,155,"(150, 182, 155)",1
150,66,182,"(150, 66, 182)",1
150,155,30,"(150, 155, 30)",1
371,469,318,"(371, 469, 318)",1
136,32,11,"(136, 32, 11)",1
34,11,136,"(34, 11, 136)",1
34,136,11,"(34, 136, 11)",1
32,11,136,"(32, 11, 136)",1
32,136,11,"(32, 136, 11)",1
318,469,371,"(318, 469, 371)",1
318,371,469,"(318, 371, 469)",1
469,318,371,"(469, 318, 371)",1
469,371,318,"(469, 371, 318)",1
371,318,469,"(371, 318, 469)",1
87,325,301,"(87, 325, 301)",1
136,11,32,"(136, 11, 32)",1
87,301,325,"(87, 301, 325)",1
325,87,301,"(325, 87, 301)",1
325,301,87,"(325, 301, 87)",1
301,87,325,"(301, 87, 325)",1
301,325,87,"(301, 325, 87)",1
404,111,112,"(404, 111, 112)",1
404,112,111,"(404, 112, 111)",1
111,404,112,"(111, 404, 112)",1
111,112,404,"(111, 112, 404)",1
112,404,111,"(112, 404, 111)",1
136,34,11,"(136, 34, 11)",1
136,11,34,"(136, 11, 34)",1
150,155,182,"(150, 155, 182)",1
15,428,14,"(15, 428, 14)",1
428,15,14,"(428, 15, 14)",1
66,428,14,"(66, 428, 14)",1
66,428,15,"(66, 428, 15)",1
66,14,428,"(66, 14, 428)",1
66,15,428,"(66, 15, 428)",1
14,428,66,"(14, 428, 66)",1
14,428,15,"(14, 428, 15)",1
14,66,428,"(14, 66, 428)",1
14,15,428,"(14, 15, 428)",1
15,428,66,"(15, 428, 66)",1
15,66,428,"(15, 66, 428)",1
11,32,136,"(11, 32, 136)",1
15,14,428,"(15, 14, 428)",1
233,267,180,"(233, 267, 180)",1
233,180,267,"(233, 180, 267)",1
267,233,180,"(267, 233, 180)",1
267,180,233,"(267, 180, 233)",1
180,233,267,"(180, 233, 267)",1
180,267,233,"(180, 267, 233)",1
11,136,34,"(11, 136, 34)",1
11,136,32,"(11, 136, 32)",1
11,34,136,"(11, 34, 136)",1
112,111,404,"(112, 111, 404)",1
358,305,36,"(358, 305, 36)",1
358,36,305,"(358, 36, 305)",1
66,182,30,"(66, 182, 30)",1
284,88,150,"(284, 88, 150)",1
284,150,88,"(284, 150, 88)",1
155,66,30,"(155, 66, 30)",1
155,182,150,"(155, 182, 150)",1
155,150,182,"(155, 150, 182)",1
155,150,30,"(155, 150, 30)",1
155,30,66,"(155, 30, 66)",1
155,30,150,"(155, 30, 150)",1
66,155,30,"(66, 155, 30)",1
66,182,150,"(66, 182, 150)",1
66,150,182,"(66, 150, 182)",1
305,358,36,"(305, 358, 36)",1
66,30,155,"(66, 30, 155)",1
66,30,182,"(66, 30, 182)",1
182,155,150,"(182, 155, 150)",1
182,66,150,"(182, 66, 150)",1
182,66,30,"(182, 66, 30)",1
182,150,155,"(182, 150, 155)",1
182,150,66,"(182, 150, 66)",1
182,150,30,"(182, 150, 30)",1
182,30,66,"(182, 30, 66)",1
182,30,150,"(182, 30, 150)",1
150,284,88,"(150, 284, 88)",1
150,88,284,"(150, 88, 284)",1
88,284,150,"(88, 284, 150)",1
88,150,284,"(88, 150, 284)",1
305,36,358,"(305, 36, 358)",1
36,358,305,"(36, 358, 305)",1
36,305,358,"(36, 305, 358)",1
81,434,41,"(81, 434, 41)",1
81,434,44,"(81, 434, 44)",1
81,41,434,"(81, 41, 434)",1
81,44,434,"(81, 44, 434)",1
434,81,41,"(434, 81, 41)",1
434,81,44,"(434, 81, 44)",1
434,41,81,"(434, 41, 81)",1
434,41,44,"(434, 41, 44)",1
434,44,81,"(434, 44, 81)",1
434,44,41,"(434, 44, 41)",1
41,81,434,"(41, 81, 434)",1
41,434,81,"(41, 434, 81)",1
41,434,44,"(41, 434, 44)",1
41,44,434,"(41, 44, 434)",1
44,81,434,"(44, 81, 434)",1
44,434,81,"(44, 434, 81)",1
44,434,41,"(44, 434, 41)",1
44,41,434,"(44, 41, 434)",1
17,356,180,"(17, 356, 180)",1
17,180,158,"(17, 180, 158)",1
428,14,15,"(428, 14, 15)",1
111,35,42,"(111, 35, 42)",1
42,35,175,"(42, 35, 175)",1
42,35,111,"(42, 35, 111)",1
42,35,112,"(42, 35, 112)",1
42,111,175,"(42, 111, 175)",1
42,111,35,"(42, 111, 35)",1
42,112,175,"(42, 112, 175)",1
42,112,35,"(42, 112, 35)",1
111,175,35,"(111, 175, 35)",1
111,175,42,"(111, 175, 42)",1
111,35,175,"(111, 35, 175)",1
111,42,175,"(111, 42, 175)",1
42,175,111,"(42, 175, 111)",1
111,42,35,"(111, 42, 35)",1
112,175,35,"(112, 175, 35)",1
112,175,42,"(112, 175, 42)",1
112,35,175,"(112, 35, 175)",1
112,35,42,"(112, 35, 42)",1
112,42,175,"(112, 42, 175)",1
112,42,35,"(112, 42, 35)",1
395,29,142,"(395, 29, 142)",1
395,142,29,"(395, 142, 29)",1
29,395,142,"(29, 395, 142)",1
42,175,112,"(42, 175, 112)",1
42,175,35,"(42, 175, 35)",1
142,395,29,"(142, 395, 29)",1
175,111,42,"(175, 111, 42)",1
5,4,35,"(5, 4, 35)",1
5,35,11,"(5, 35, 11)",1
5,35,4,"(5, 35, 4)",1
175,35,42,"(175, 35, 42)",1
175,35,111,"(175, 35, 111)",1
175,35,112,"(175, 35, 112)",1
175,42,35,"(175, 42, 35)",1
175,42,111,"(175, 42, 111)",1
175,42,112,"(175, 42, 112)",1
175,111,35,"(175, 111, 35)",1
175,112,35,"(175, 112, 35)",1
35,112,42,"(35, 112, 42)",1
175,112,42,"(175, 112, 42)",1
35,175,42,"(35, 175, 42)",1
35,175,111,"(35, 175, 111)",1
35,175,112,"(35, 175, 112)",1
35,42,175,"(35, 42, 175)",1
35,42,111,"(35, 42, 111)",1
35,42,112,"(35, 42, 112)",1
35,111,175,"(35, 111, 175)",1
35,111,42,"(35, 111, 42)",1
35,112,175,"(35, 112, 175)",1
29,142,395,"(29, 142, 395)",1
142,29,395,"(142, 29, 395)",1
17,180,356,"(17, 180, 356)",1
122,325,209,"(122, 325, 209)",1
142,110,3,"(142, 110, 3)",1
142,215,110,"(142, 215, 110)",1
142,3,110,"(142, 3, 110)",1
122,209,94,"(122, 209, 94)",1
122,209,121,"(122, 209, 121)",1
122,209,325,"(122, 209, 325)",1
122,209,105,"(122, 209, 105)",1
122,94,209,"(122, 94, 209)",1
122,94,325,"(122, 94, 325)",1
122,121,209,"(122, 121, 209)",1
122,325,94,"(122, 325, 94)",1
3,142,110,"(3, 142, 110)",1
122,325,105,"(122, 325, 105)",1
122,105,209,"(122, 105, 209)",1
122,105,325,"(122, 105, 325)",1
209,122,94,"(209, 122, 94)",1
209,122,121,"(209, 122, 121)",1
209,122,325,"(209, 122, 325)",1
209,122,105,"(209, 122, 105)",1
209,94,122,"(209, 94, 122)",1
209,94,121,"(209, 94, 121)",1
209,94,325,"(209, 94, 325)",1
142,110,215,"(142, 110, 215)",1
3,110,142,"(3, 110, 142)",1
229,228,140,"(229, 228, 140)",1
171,140,228,"(171, 140, 228)",1
229,171,140,"(229, 171, 140)",1
229,140,228,"(229, 140, 228)",1
229,140,171,"(229, 140, 171)",1
228,229,140,"(228, 229, 140)",1
228,171,140,"(228, 171, 140)",1
228,140,229,"(228, 140, 229)",1
228,140,171,"(228, 140, 171)",1
171,229,140,"(171, 229, 140)",1
171,228,140,"(171, 228, 140)",1
171,140,229,"(171, 140, 229)",1
140,229,228,"(140, 229, 228)",1
215,142,110,"(215, 142, 110)",1
140,229,171,"(140, 229, 171)",1
140,228,229,"(140, 228, 229)",1
140,228,171,"(140, 228, 171)",1
140,171,229,"(140, 171, 229)",1
140,171,228,"(140, 171, 228)",1
110,215,142,"(110, 215, 142)",1
110,3,142,"(110, 3, 142)",1
110,142,215,"(110, 142, 215)",1
110,142,3,"(110, 142, 3)",1
215,110,142,"(215, 110, 142)",1
5,11,35,"(5, 11, 35)",1
35,5,4,"(35, 5, 4)",1
35,5,11,"(35, 5, 11)",1
237,126,129,"(237, 126, 129)",1
14,215,10,"(14, 215, 10)",1
14,10,215,"(14, 10, 215)",1
73,215,10,"(73, 215, 10)",1
73,10,215,"(73, 10, 215)",1
10,215,14,"(10, 215, 14)",1
10,215,73,"(10, 215, 73)",1
10,14,215,"(10, 14, 215)",1
10,73,215,"(10, 73, 215)",1
237,126,51,"(237, 126, 51)",1
237,126,140,"(237, 126, 140)",1
237,51,126,"(237, 51, 126)",1
215,10,14,"(215, 10, 14)",1
237,51,140,"(237, 51, 140)",1
237,51,129,"(237, 51, 129)",1
237,140,126,"(237, 140, 126)",1
237,140,51,"(237, 140, 51)",1
237,140,129,"(237, 140, 129)",1
237,129,126,"(237, 129, 126)",1
237,129,51,"(237, 129, 51)",1
237,129,140,"(237, 129, 140)",1
126,237,51,"(126, 237, 51)",1
126,237,140,"(126, 237, 140)",1
215,10,73,"(215, 10, 73)",1
215,73,10,"(215, 73, 10)",1
35,4,5,"(35, 4, 5)",1
180,162,158,"(180, 162, 158)",1
356,162,17,"(356, 162, 17)",1
356,162,180,"(356, 162, 180)",1
356,158,17,"(356, 158, 17)",1
356,158,180,"(356, 158, 180)",1
356,17,162,"(356, 17, 162)",1
356,17,158,"(356, 17, 158)",1
356,17,180,"(356, 17, 180)",1
356,180,162,"(356, 180, 162)",1
356,180,158,"(356, 180, 158)",1
356,180,17,"(356, 180, 17)",1
180,162,17,"(180, 162, 17)",1
215,14,10,"(215, 14, 10)",1
180,162,356,"(180, 162, 356)",1
180,158,162,"(180, 158, 162)",1
180,158,17,"(180, 158, 17)",1
180,158,356,"(180, 158, 356)",1
180,17,162,"(180, 17, 162)",1
180,17,158,"(180, 17, 158)",1
180,17,356,"(180, 17, 356)",1
180,356,162,"(180, 356, 162)",1
180,356,158,"(180, 356, 158)",1
180,356,17,"(180, 356, 17)",1
126,237,129,"(126, 237, 129)",1
126,51,237,"(126, 51, 237)",1
126,51,140,"(126, 51, 140)",1
129,126,140,"(129, 126, 140)",1
140,51,126,"(140, 51, 126)",1
140,51,129,"(140, 51, 129)",1
140,129,237,"(140, 129, 237)",1
140,129,126,"(140, 129, 126)",1
140,129,51,"(140, 129, 51)",1
129,237,126,"(129, 237, 126)",1
129,237,51,"(129, 237, 51)",1
129,237,140,"(129, 237, 140)",1
129,126,237,"(129, 126, 237)",1
129,126,51,"(129, 126, 51)",1
129,51,237,"(129, 51, 237)",1
126,51,129,"(126, 51, 129)",1
129,51,126,"(129, 51, 126)",1
129,51,140,"(129, 51, 140)",1
129,140,237,"(129, 140, 237)",1
129,140,126,"(129, 140, 126)",1
129,140,51,"(129, 140, 51)",1
11,35,5,"(11, 35, 5)",1
11,5,35,"(11, 5, 35)",1
4,35,5,"(4, 35, 5)",1
4,5,35,"(4, 5, 35)",1
35,11,5,"(35, 11, 5)",1
140,51,237,"(140, 51, 237)",1
140,126,129,"(140, 126, 129)",1
140,126,51,"(140, 126, 51)",1
140,126,237,"(140, 126, 237)",1
126,140,237,"(126, 140, 237)",1
126,140,51,"(126, 140, 51)",1
126,140,129,"(126, 140, 129)",1
126,129,237,"(126, 129, 237)",1
126,129,51,"(126, 129, 51)",1
126,129,140,"(126, 129, 140)",1
51,237,126,"(51, 237, 126)",1
51,237,140,"(51, 237, 140)",1
51,237,129,"(51, 237, 129)",1
51,126,237,"(51, 126, 237)",1
51,126,140,"(51, 126, 140)",1
51,126,129,"(51, 126, 129)",1
51,140,237,"(51, 140, 237)",1
51,140,126,"(51, 140, 126)",1
51,140,129,"(51, 140, 129)",1
51,129,237,"(51, 129, 237)",1
51,129,126,"(51, 129, 126)",1
51,129,140,"(51, 129, 140)",1
140,237,126,"(140, 237, 126)",1
140,237,51,"(140, 237, 51)",1
140,237,129,"(140, 237, 129)",1
428,15,66,"(428, 15, 66)",1
428,14,66,"(428, 14, 66)",1
209,121,122,"(209, 121, 122)",1
233,61,304,"(233, 61, 304)",1
154,177,147,"(154, 177, 147)",1
154,177,179,"(154, 177, 179)",1
154,147,177,"(154, 147, 177)",1
154,147,179,"(154, 147, 179)",1
154,179,177,"(154, 179, 177)",1
154,179,147,"(154, 179, 147)",1
179,177,154,"(179, 177, 154)",1
179,147,154,"(179, 147, 154)",1
179,154,177,"(179, 154, 177)",1
179,154,147,"(179, 154, 147)",1
233,304,61,"(233, 304, 61)",1
147,154,179,"(147, 154, 179)",1
61,233,304,"(61, 233, 304)",1
61,304,233,"(61, 304, 233)",1
304,233,61,"(304, 233, 61)",1
304,61,233,"(304, 61, 233)",1
329,262,41,"(329, 262, 41)",1
329,262,173,"(329, 262, 173)",1
329,262,44,"(329, 262, 44)",1
329,41,262,"(329, 41, 262)",1
329,41,173,"(329, 41, 173)",1
329,41,44,"(329, 41, 44)",1
147,179,154,"(147, 179, 154)",1
147,154,177,"(147, 154, 177)",1
329,173,41,"(329, 173, 41)",1
193,12,4,"(193, 12, 4)",1
4,12,193,"(4, 12, 193)",1
4,193,12,"(4, 193, 12)",1
4,193,10,"(4, 193, 10)",1
4,10,193,"(4, 10, 193)",1
12,4,193,"(12, 4, 193)",1
12,193,4,"(12, 193, 4)",1
12,193,10,"(12, 193, 10)",1
12,10,193,"(12, 10, 193)",1
193,4,12,"(193, 4, 12)",1
193,4,10,"(193, 4, 10)",1
193,12,10,"(193, 12, 10)",1
147,177,154,"(147, 177, 154)",1
193,10,4,"(193, 10, 4)",1
193,10,12,"(193, 10, 12)",1
10,4,193,"(10, 4, 193)",1
10,12,193,"(10, 12, 193)",1
10,193,4,"(10, 193, 4)",1
10,193,12,"(10, 193, 12)",1
177,147,154,"(177, 147, 154)",1
177,154,147,"(177, 154, 147)",1
177,154,179,"(177, 154, 179)",1
177,179,154,"(177, 179, 154)",1
329,173,262,"(329, 173, 262)",1
329,173,44,"(329, 173, 44)",1
50,123,104,"(50, 123, 104)",1
44,329,173,"(44, 329, 173)",1
173,262,41,"(173, 262, 41)",1
173,262,44,"(173, 262, 44)",1
173,41,329,"(173, 41, 329)",1
173,41,262,"(173, 41, 262)",1
173,41,44,"(173, 41, 44)",1
173,44,329,"(173, 44, 329)",1
173,44,262,"(173, 44, 262)",1
173,44,41,"(173, 44, 41)",1
44,329,262,"(44, 329, 262)",1
44,329,41,"(44, 329, 41)",1
44,262,329,"(44, 262, 329)",1
173,329,44,"(173, 329, 44)",1
44,262,173,"(44, 262, 173)",1
44,41,329,"(44, 41, 329)",1
44,41,173,"(44, 41, 173)",1
44,173,329,"(44, 173, 329)",1
44,173,262,"(44, 173, 262)",1
44,173,41,"(44, 173, 41)",1
104,50,123,"(104, 50, 123)",1
104,117,123,"(104, 117, 123)",1
104,123,50,"(104, 123, 50)",1
104,123,117,"(104, 123, 117)",1
173,262,329,"(173, 262, 329)",1
173,329,41,"(173, 329, 41)",1
329,44,262,"(329, 44, 262)",1
262,44,329,"(262, 44, 329)",1
329,44,41,"(329, 44, 41)",1
329,44,173,"(329, 44, 173)",1
262,329,41,"(262, 329, 41)",1
262,329,173,"(262, 329, 173)",1
262,329,44,"(262, 329, 44)",1
262,41,329,"(262, 41, 329)",1
262,41,173,"(262, 41, 173)",1
262,173,329,"(262, 173, 329)",1
262,173,41,"(262, 173, 41)",1
262,173,44,"(262, 173, 44)",1
262,44,173,"(262, 44, 173)",1
173,329,262,"(173, 329, 262)",1
41,329,262,"(41, 329, 262)",1
41,329,173,"(41, 329, 173)",1
41,329,44,"(41, 329, 44)",1
41,262,329,"(41, 262, 329)",1
41,262,173,"(41, 262, 173)",1
41,173,329,"(41, 173, 329)",1
41,173,262,"(41, 173, 262)",1
41,173,44,"(41, 173, 44)",1
41,44,329,"(41, 44, 329)",1
41,44,173,"(41, 44, 173)",1
249,94,166,"(249, 94, 166)",1
249,166,94,"(249, 166, 94)",1
94,249,166,"(94, 249, 166)",1
140,100,20,"(140, 100, 20)",1
140,18,20,"(140, 18, 20)",1
140,18,100,"(140, 18, 100)",1
140,202,18,"(140, 202, 18)",1
140,202,20,"(140, 202, 20)",1
140,202,100,"(140, 202, 100)",1
140,20,18,"(140, 20, 18)",1
140,20,202,"(140, 20, 202)",1
140,20,100,"(140, 20, 100)",1
140,100,18,"(140, 100, 18)",1
140,100,202,"(140, 100, 202)",1
100,18,140,"(100, 18, 140)",1
20,100,140,"(20, 100, 140)",1
100,202,140,"(100, 202, 140)",1
100,20,140,"(100, 20, 140)",1
100,140,18,"(100, 140, 18)",1
100,140,202,"(100, 140, 202)",1
100,140,20,"(100, 140, 20)",1
260,229,228,"(260, 229, 228)",1
260,228,229,"(260, 228, 229)",1
229,260,228,"(229, 260, 228)",1
229,228,260,"(229, 228, 260)",1
228,260,229,"(228, 260, 229)",1
140,18,202,"(140, 18, 202)",1
20,140,100,"(20, 140, 100)",1
94,166,249,"(94, 166, 249)",1
18,140,20,"(18, 140, 20)",1
71,258,259,"(71, 258, 259)",1
71,158,289,"(71, 158, 289)",1
71,158,258,"(71, 158, 258)",1
71,158,259,"(71, 158, 259)",1
71,259,289,"(71, 259, 289)",1
71,259,258,"(71, 259, 258)",1
71,259,158,"(71, 259, 158)",1
18,202,140,"(18, 202, 140)",1
18,20,140,"(18, 20, 140)",1
18,140,202,"(18, 140, 202)",1
18,140,100,"(18, 140, 100)",1
20,140,202,"(20, 140, 202)",1
18,100,140,"(18, 100, 140)",1
202,18,140,"(202, 18, 140)",1
202,20,140,"(202, 20, 140)",1
202,140,18,"(202, 140, 18)",1
202,140,20,"(202, 140, 20)",1
202,140,100,"(202, 140, 100)",1
202,100,140,"(202, 100, 140)",1
20,18,140,"(20, 18, 140)",1
20,202,140,"(20, 202, 140)",1
20,140,18,"(20, 140, 18)",1
228,229,260,"(228, 229, 260)",1
309,392,178,"(309, 392, 178)",1
309,178,392,"(309, 178, 392)",1
416,438,35,"(416, 438, 35)",1
35,356,438,"(35, 356, 438)",1
35,356,416,"(35, 356, 416)",1
438,35,416,"(438, 35, 416)",1
438,35,356,"(438, 35, 356)",1
438,416,35,"(438, 416, 35)",1
438,416,356,"(438, 416, 356)",1
438,356,35,"(438, 356, 35)",1
438,356,416,"(438, 356, 416)",1
